ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
10367-0704-1.zip,202502041232,多野郡神流町大字相原,481,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,482,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,483-1,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,483-2,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,483-3,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,484-1,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,484-2,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,484-3,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,485-1,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,485-2,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,485-3,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,485-4,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,486-1,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,486-2,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,486-3,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,487-1,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,487-2,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,487-3,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,487-4,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,489-1,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,489-2,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,489-3,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,489-4,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,490,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,甲491,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,乙491,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,492-1,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,492-2,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,493-1,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,493-2,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,493-3,,
10367-0704-1.zip,202502041232,多野郡神流町大字相原,494,,
