ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
10384-0706-1.zip,202502041316,甘楽郡甘楽町大字轟,無地番-3,,
10384-0706-1.zip,202502041316,甘楽郡甘楽町大字轟,無地番-6,,
10384-0706-1.zip,202502041316,甘楽郡甘楽町大字轟,無地番-7,,
10384-0706-1.zip,202502041316,甘楽郡甘楽町大字轟,781,,
10384-0706-1.zip,202502041316,甘楽郡甘楽町大字轟,無地番-4,,
10384-0706-1.zip,202502041316,甘楽郡甘楽町大字轟,無地番-5,,
10384-0706-1.zip,202502041316,甘楽郡甘楽町大字轟,道-90,,
10384-0706-2.zip,202502041316,甘楽郡甘楽町大字轟,805W1,,
10384-0706-2.zip,202502041316,甘楽郡甘楽町大字轟,805W2,,
10384-0706-2.zip,202502041316,甘楽郡甘楽町大字轟,805W3,,
10384-0706-2.zip,202502041316,甘楽郡甘楽町大字轟,805W4,,
10384-0706-2.zip,202502041316,甘楽郡甘楽町大字轟,805W5,,
10384-0706-2.zip,202502041316,甘楽郡甘楽町大字轟,805W6,,
10384-0706-2.zip,202502041316,甘楽郡甘楽町大字轟,806W1,,
10384-0706-2.zip,202502041316,甘楽郡甘楽町大字轟,806W2,,
10384-0706-2.zip,202502041316,甘楽郡甘楽町大字轟,806W3,,
10384-0706-2.zip,202502041316,甘楽郡甘楽町大字轟,道-91,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,96,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,97,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,99,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,100-1,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,100-2,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,102,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,103-1,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,103-2,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,103-3,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,104-1,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,104-2,,
10384-0706-3.zip,202502041316,甘楽郡甘楽町大字金井,105,,
