ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,83-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,84-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,85,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,87,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,88-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,88-2,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,89-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,89-3,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,90-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,91-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,95-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,97-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,98-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,99,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,101-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,101-2,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,101-4,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,102,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,103-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,103-3,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,106-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,107-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,108,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,109,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,110-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,110-2,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,111-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,111-2,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,111-3,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,112-1X(1/2),,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,112-1X(2/2),,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,112-2,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,112-3,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,112-4,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,112-5,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,114-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,114-3,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,115,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,116-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,116-2,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,117,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,118-1,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,118-2,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,118-3,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,118-4,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,118-5X(1/2),,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,118-5X(2/2),,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,118-6,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,118-7,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,118-8,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,118-9,,
10428-0705-1.zip,202502041303,吾妻郡高山村大字尻高,118-10,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,乙3365,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,3401-1,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,3401-2,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,3401-3,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,3401-4,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,3401-5,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,3401-6,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,3401-7,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,3401-8,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,3402,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,無地番-10,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,筆界未定地-22,吾妻郡高山村大字尻高,3400-1
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,筆界未定地-22,吾妻郡高山村大字尻高,3400-2
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,筆界未定地-22,吾妻郡高山村大字尻高,3400-3
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,道-60,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,道-66,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,道-72,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,道-78,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,道-84,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,道-90,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,水-73,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,長狭物不明-8,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,長狭物不明-11,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,長狭物不明-13,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,長狭物不明-14,,
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,筆界未定地-27,吾妻郡高山村大字尻高,3387
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,筆界未定地-27,吾妻郡高山村大字尻高,3388
10428-0705-2.zip,202502041303,吾妻郡高山村大字尻高,筆界未定地-27,吾妻郡高山村大字尻高,4469-4
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,614,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,638,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,639,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,641,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,642,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,644,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,645,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,646,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,647,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,648,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,649,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,650,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,651,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,652,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,653,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,654,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,667,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,668,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,669-1,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,669-2,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,671-1,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,671-2,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,672-1,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,672-2,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,672-3,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,672-4,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,676-1,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,676-2,,
10428-0705-3.zip,202502041303,吾妻郡高山村大字尻高,676-3,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1313,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1316,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1317,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1319,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1320-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1320-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1321,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1322,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1323,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1324,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1325,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1328,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1329,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1330,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1331,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1332,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1333,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1334,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1335,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1336,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1337,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1338-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1338-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1339,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1340X(1/2),,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1340X(2/2),,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1341,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1342,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1343-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1343-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1344,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1345-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1345-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1896,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1897-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1897-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1898,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1899,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1900,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1901,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1902,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1903,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1904,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1905,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1906,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1907,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1908,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1909,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1910,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1911,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1912-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1912-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1913,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1914-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1914-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1914-3,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1915-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1915-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1916,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1917-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1917-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1918,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1919-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1919-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1920,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1921,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1922,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1923-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1923-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1924-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1924-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1925-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1925-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1926-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1926-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1927-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1927-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1928-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1928-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1929,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1930,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1933X(1/3),,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1933X(2/3),,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1933X(3/3),,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1934,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1936,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1937,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1938,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1939,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1940,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1941,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1942,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1943,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1944,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1945,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1946,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1947,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,長狭物不明-10,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1552-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1552-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1553-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1553-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1553-3,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1553-4,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1553-5,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1553-6,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1553-7,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1553-8,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1554-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1554-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1556-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1556-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1556-3,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1410,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1411,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1412,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1413,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1414,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1415,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1416-1X(1/2),,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1416-1X(2/2),,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1416-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1417,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1418-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1418-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1421-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1421-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1422,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1423,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1424,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1425,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1426-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,1426-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,2112-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,2112-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,2113-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,2113-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,2114-1,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,2114-2,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,2115,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,2116,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,2117,,
10428-0705-4.zip,202502041303,吾妻郡高山村大字中山,2120,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2496-1,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2496-2,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2496-3,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2496-4,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2496-5,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2496-6,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2496-7,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2496-8,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2496-9,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2497-1,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2497-2,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2497-3,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2497-4,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2497-5,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2497-6,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2498-1,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2498-2,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2499,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2500,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2501,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2502,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2505-1,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2505-2,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2506-1,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2506-2,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2507,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2508-1,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2508-2,,
10428-0705-5.zip,202502041303,吾妻郡高山村大字中山,2510-1,,
